count_nintendo_games,name_column,platform_column,year_game,genre_column,transform_date
85,DR. MARIO,NES,1990,Puzzle,2026-08-03
86,ANIMAL CROSSING: CITY FOLK,Wii,2008,Simulation,2026-08-03
87,THE LEGEND OF ZELDA: A LINK TO THE PAST,SNES,1991,Action,2026-08-03
88,THE LEGEND OF ZELDA: THE WIND WAKER,GC,2002,Action,2026-08-03
89,LUIGI'S MANSION: DARK MOON,3DS,2013,Action,2026-08-03
90,SPLATOON,WiiU,2015,Shooter,2026-08-03
91,NINTENDO LAND,WiiU,2012,Misc,2026-08-03
92,ZELDA II: THE ADVENTURE OF LINK,NES,1987,Adventure,2026-08-03
93,SUPER MARIO 3D WORLD,WiiU,2013,Platform,2026-08-03
94,THE LEGEND OF ZELDA: OCARINA OF TIME,3DS,2011,Action,2026-08-03
95,EXCITEBIKE,NES,1984,Racing,2026-08-03
96,SUPER MARIO WORLD 2: YOSHI'S ISLAND,SNES,1995,Platform,2026-08-03
97,THE LEGEND OF ZELDA: SKYWARD SWORD,Wii,2011,Action,2026-08-03
98,STAR FOX 64,N64,1997,Shooter,2026-08-03
99,GOLF,NES,1984,Sports,2026-08-03
100,PROFESSOR LAYTON AND THE DIABOLICAL BOX,DS,2007,Puzzle,2026-08-03
101,DONKEY KONG LAND,GB,1994,Platform,2026-08-03
102,MONSTER HUNTER 4 ULTIMATE,3DS,2014,Role-Playing,2026-08-03
103,FLASH FOCUS: VISION TRAINING IN MINUTES A DAY,DS,2007,Misc,2026-08-03
104,THE LEGEND OF ZELDA: LINK'S AWAKENING,GB,1992,Action,2026-08-03
105,MARIO & LUIGI: BOWSER'S INSIDE STORY,DS,2009,Role-Playing,2026-08-03
106,BIG BRAIN ACADEMY: WII DEGREE,Wii,2007,Misc,2026-08-03
107,NINTENDOGS + CATS,3DS,2011,Simulation,2026-08-03
108,SUPER PAPER MARIO,Wii,2007,Platform,2026-08-03
109,POKÉMON TRADING CARD GAME,GB,1998,Strategy,2026-08-03
110,FRIEND COLLECTION,DS,2009,Misc,2026-08-03
111,BANJO-KAZOOIE,N64,1998,Platform,2026-08-03
112,POKEMON SNAP,N64,1999,Simulation,2026-08-03
113,LUIGI'S MANSION,GC,2001,Action,2026-08-03
114,DONKEY KONG COUNTRY 3: DIXIE KONG'S DOUBLE TROUBLE!,SNES,1996,Platform,2026-08-03
115,KUNG FU,NES,1985,Action,2026-08-03
116,CLUBHOUSE GAMES,DS,2006,Misc,2026-08-03
117,F-1 RACE,GB,1990,Racing,2026-08-03
118,THE LEGEND OF ZELDA: SPIRIT TRACKS,DS,2009,Action,2026-08-03
119,THE LEGEND OF ZELDA: MAJORA'S MASK,N64,2000,Action,2026-08-03
120,PROFESSOR LAYTON AND THE UNWOUND FUTURE,DS,2008,Puzzle,2026-08-03
121,ENGLISH TRAINING: HAVE FUN IMPROVING YOUR SKILLS!,DS,2006,Misc,2026-08-03
122,MARIO PARTY 9,Wii,2012,Misc,2026-08-03
123,WII MUSIC,Wii,2008,Misc,2026-08-03
124,YOKAI WATCH 2 GANSO/HONKE,3DS,2014,Role-Playing,2026-08-03
125,BASEBALL,NES,1983,Sports,2026-08-03
126,KILLER INSTINCT,SNES,1995,Fighting,2026-08-03
127,SUPER MARIO MAKER,WiiU,2015,Platform,2026-08-03
128,RHYTHM HEAVEN,DS,2008,Misc,2026-08-03
129,ANIMAL CROSSING,GC,2001,Simulation,2026-08-03
130,STAR WARS EPISODE I RACER,N64,1999,Racing,2026-08-03
131,PERSONAL TRAINER: COOKING,DS,2006,Misc,2026-08-03
132,THE LEGEND OF ZELDA: A LINK BETWEEN WORLDS,3DS,2013,Action,2026-08-03
133,DONKEY KONG,GB,1994,Platform,2026-08-03
134,MIKE TYSON'S PUNCH-OUT!!,NES,1987,Fighting,2026-08-03
135,STAR FOX,SNES,1993,Shooter,2026-08-03
136,ANIMAL CROSSING: HAPPY HOME DESIGNER,3DS,2015,Simulation,2026-08-03
137,KIRBY SUPER STAR ULTRA,DS,2008,Platform,2026-08-03
138,WAVE RACE 64,N64,1996,Racing,2026-08-03
139,WARIOWARE: SMOOTH MOVES,Wii,2006,Puzzle,2026-08-03
140,SUPER MARIO WORLD 2: YOSHI'S ISLAND,GBA,2002,Platform,2026-08-03
141,F-ZERO,SNES,1990,Racing,2026-08-03
142,YOSHI'S STORY,N64,1997,Platform,2026-08-03
143,METROID PRIME,GC,2002,Shooter,2026-08-03
144,YOSHI'S ISLAND DS,DS,2006,Platform,2026-08-03
145,PROFESSOR LAYTON AND THE LAST SPECTER,DS,2009,Puzzle,2026-08-03
146,MONSTER HUNTER TRI,3DS,2011,Role-Playing,2026-08-03
147,MARIO PAINT,SNES,1992,Misc,2026-08-03
148,POKÉMON STADIUM 2,N64,2000,Strategy,2026-08-03
149,METROID,NES,1986,Action,2026-08-03
150,THE LEGEND OF ZELDA: A LINK TO THE PAST,GBA,2002,Action,2026-08-03
151,MARIO PARTY,N64,1998,Misc,2026-08-03
152,MARIO VS. DONKEY KONG: MINI-LAND MAYHEM!,DS,2010,Puzzle,2026-08-03
153,SUPER MARIO BROS.: THE LOST LEVELS,NES,1986,Platform,2026-08-03
154,STAR WARS: SHADOWS OF THE EMPIRE,N64,1996,Action,2026-08-03
155,MARIO STRIKERS CHARGED,Wii,2007,Sports,2026-08-03
156,STYLE SAVVY,DS,2008,Simulation,2026-08-03
157,SUPER MARIO ALL-STARS: LIMITED EDITION,Wii,2010,Platform,2026-08-03
158,ART ACADEMY,DS,2010,Misc,2026-08-03
159,POKÉMON COLOSSEUM,GC,2003,Role-Playing,2026-08-03
160,PERFECT DARK,N64,2000,Action,2026-08-03
161,MARIO PARTY 2,N64,1999,Misc,2026-08-03
162,MARIO PARTY 4,GC,2002,Misc,2026-08-03
163,ICE HOCKEY,NES,1988,Sports,2026-08-03
164,PRO WRESTLING,NES,1987,Fighting,2026-08-03
165,KIRBY'S DREAM LAND 2,GB,1995,Platform,2026-08-03
166,DONKEY KONG LAND II,GB,1996,Platform,2026-08-03
167,THE LEGEND OF ZELDA: MAJORA'S MASK 3D,3DS,2015,Action,2026-08-03
168,MARIO TENNIS,N64,2000,Sports,2026-08-03
169,WARIOWARE TOUCHED!,DS,2004,Puzzle,2026-08-03
170,POKEMON RANGER: SHADOWS OF ALMIA,DS,2008,Role-Playing,2026-08-03
171,MARIO BROS.,NES,1983,Platform,2026-08-03
172,PAPER MARIO: STICKER STAR,3DS,2012,Role-Playing,2026-08-03
173,KIRBY: NIGHTMARE IN DREAM LAND,GBA,2002,Platform,2026-08-03
174,WARIO LAND 4,GBA,2001,Platform,2026-08-03
175,PAPER MARIO: THE THOUSAND-YEAR DOOR,GC,2004,Role-Playing,2026-08-03
176,MONSTER HUNTER TRI,Wii,2009,Role-Playing,2026-08-03
177,NEW SUPER LUIGI U,WiiU,2013,Platform,2026-08-03
178,THE LEGEND OF ZELDA: LINK'S AWAKENING DX,GB,1998,Adventure,2026-08-03
179,WARIO LAND 3,GB,2000,Platform,2026-08-03
180,KIRBY'S PINBALL LAND,GB,1992,Misc,2026-08-03
181,DONKEY KONG COUNTRY,GB,2000,Platform,2026-08-03
182,POKEMON RANGER,DS,2006,Role-Playing,2026-08-03
183,MARIO & LUIGI: SUPERSTAR SAGA,GBA,2003,Role-Playing,2026-08-03
184,STAR WARS: ROGUE SQUADRON,N64,1998,Simulation,2026-08-03
185,TENNIS,NES,1984,Sports,2026-08-03
186,VOLLEYBALL,NES,1987,Sports,2026-08-03
187,SUPER MARIO RPG: LEGEND OF THE SEVEN STARS,SNES,1996,Role-Playing,2026-08-03
188,MAHJONG,NES,1983,Misc,2026-08-03
189,R.C. PRO-AM,NES,1988,Racing,2026-08-03
190,TETRIS DS,DS,2006,Puzzle,2026-08-03
191,KIRBY'S EPIC YARN,Wii,2010,Platform,2026-08-03
192,GOLF,GB,1989,Sports,2026-08-03
193,MARIO SPORTS MIX,Wii,2010,Sports,2026-08-03
194,MARIO PARTY 5,GC,2003,Misc,2026-08-03
195,POKEMON MYSTERY DUNGEON: RED/BLUE RESCUE TEAM,GBA,2005,Role-Playing,2026-08-03
196,MARIO & LUIGI: DREAM TEAM,3DS,2013,Role-Playing,2026-08-03
197,POKÉMON MYSTERY DUNGEON: BLUE RESCUE TEAM,DS,2005,Role-Playing,2026-08-03
198,DONKEY KONG COUNTRY,GBA,2003,Platform,2026-08-03
199,1080°: TENEIGHTY SNOWBOARDING,N64,1998,Sports,2026-08-03
200,FIRE EMBLEM: AWAKENING,3DS,2012,Role-Playing,2026-08-03
201,SUPER STREET FIGHTER II,SNES,1993,Fighting,2026-08-03
202,TENNIS,GB,1989,Sports,2026-08-03
203,SIMCITY,SNES,1991,Simulation,2026-08-03
204,RAD RACER,NES,1986,Racing,2026-08-03
205,SOCCER,NES,1985,Sports,2026-08-03
206,KIRBY SQUEAK SQUAD,DS,2006,Platform,2026-08-03
207,ALLEYWAY,GB,1989,Puzzle,2026-08-03
208,TETRIS DX,GB,1998,Puzzle,2026-08-03
209,MARIO SUPER SLUGGERS,Wii,2008,Sports,2026-08-03
210,THE LEGEND OF ZELDA: ORACLE OF AGES,GB,2001,Action,2026-08-03
211,MARIO PARTY 3,N64,2000,Misc,2026-08-03
212,YOKAI WATCH,3DS,2013,Role-Playing,2026-08-03
213,STAR FOX ADVENTURES,GC,2002,Adventure,2026-08-03
214,DONKEY KONG COUNTRY RETURNS,3DS,2013,Platform,2026-08-03
215,THE LEGEND OF ZELDA: ORACLE OF SEASONS,GB,2001,Adventure,2026-08-03
216,MARIO PARTY: ISLAND TOUR,3DS,2013,Misc,2026-08-03
217,PINBALL,NES,1984,Action,2026-08-03
218,"HEY YOU, PIKACHU!",N64,1998,Simulation,2026-08-03
219,KIRBY: TRIPLE DELUXE,3DS,2014,Platform,2026-08-03
220,METROID PRIME 3: CORRUPTION,Wii,2007,Shooter,2026-08-03
221,DRAGON QUEST VI: REALMS OF REVELATION,DS,2010,Role-Playing,2026-08-03
222,PROFESSOR LAYTON AND THE MASK OF MIRACLE,3DS,2011,Puzzle,2026-08-03
223,THE LEGEND OF ZELDA: THE WIND WAKER,WiiU,2013,Action,2026-08-03
224,WII PARTY U,WiiU,2013,Misc,2026-08-03
225,KIRBY 64: THE CRYSTAL SHARDS,N64,2000,Platform,2026-08-03
226,METROID II: RETURN OF SAMUS,GB,1991,Adventure,2026-08-03
227,GOLDEN SUN,GBA,2001,Role-Playing,2026-08-03
228,KID ICARUS,NES,1986,Platform,2026-08-03
229,YOSHI,NES,1991,Puzzle,2026-08-03
230,KIRBY'S ADVENTURE,NES,1993,Platform,2026-08-03
231,CRUIS'N USA,N64,1996,Racing,2026-08-03
232,KANSHUU NIPPON JOUSHIKIRYOKU KENTEI KYOUKAI: IMASARA HITO NI WA KIKENAI OTONA NO JOUSHIKIRYOKU TRAINING DS,DS,2006,Misc,2026-08-03
233,PERSONAL TRAINER: MATH,DS,2007,Puzzle,2026-08-03
234,KIRBY'S RETURN TO DREAMLAND,Wii,2011,Platform,2026-08-03
235,YOSHI'S COOKIE,GB,1992,Puzzle,2026-08-03
236,METROID FUSION,GBA,2002,Action,2026-08-03
237,MARIO PARTY 6,GC,2004,Misc,2026-08-03
238,SUPER SCOPE 6,SNES,1991,Shooter,2026-08-03
239,KIRBY & THE AMAZING MIRROR,GBA,2004,Platform,2026-08-03
240,PIKMIN,GC,2001,Strategy,2026-08-03
241,MARIO HOOPS 3 ON 3,DS,2006,Sports,2026-08-03
242,KIRBY AIR RIDE,GC,2003,Racing,2026-08-03
243,POKEMON BATTLE REVOLUTION,Wii,2006,Role-Playing,2026-08-03
244,BASEBALL,GB,1989,Sports,2026-08-03
245,SUPER MARIO STRIKERS,GC,2005,Sports,2026-08-03
246,THE LEGEND OF ZELDA: TWILIGHT PRINCESS,GC,2006,Action,2026-08-03
247,POKEMON MYSTERY DUNGEON: EXPLORERS OF SKY,DS,2009,Role-Playing,2026-08-03
248,MARIO PARTY 7,GC,2005,Misc,2026-08-03
249,DONKEY KONG CLASSICS,NES,1988,Platform,2026-08-03
250,POKEMON PINBALL: RUBY & SAPPHIRE,GBA,2003,Misc,2026-08-03
251,MARIO PARTY 10,WiiU,2015,Misc,2026-08-03
252,FIRE EMBLEM FATES,3DS,2015,Role-Playing,2026-08-03
253,MARIO GOLF: TOADSTOOL TOUR,GC,2003,Sports,2026-08-03
254,DONKEY KONG COUNTRY: TROPICAL FREEZE,WiiU,2014,Platform,2026-08-03
255,F1 RACE,NES,1984,Racing,2026-08-03
256,ICE CLIMBER,NES,1985,Platform,2026-08-03
257,FINAL FANTASY: CRYSTAL CHRONICLES,GC,2003,Role-Playing,2026-08-03
258,BANJO-TOOIE,N64,2000,Platform,2026-08-03
259,NEW PLAY CONTROL! MARIO POWER TENNIS,Wii,2009,Sports,2026-08-03
260,NINTENDO WORLD CUP,NES,1990,Sports,2026-08-03
261,WARIO LAND II,GB,1997,Platform,2026-08-03
262,MARIO GOLF,N64,1999,Action,2026-08-03
263,MARIO SUPERSTAR BASEBALL,GC,2005,Sports,2026-08-03
264,LEGO CITY UNDERCOVER,3DS,2013,Platform,2026-08-03
265,4 NIN UCHI MAHJONG,NES,1984,Misc,2026-08-03
266,KIRBY SUPER STAR,SNES,1996,Platform,2026-08-03
267,CLASSIC NES SERIES: SUPER MARIO BROS.,GBA,2004,Platform,2026-08-03
268,THE LEGEND OF ZELDA: THE MINISH CAP,GBA,2004,Action,2026-08-03
269,SUPER METROID,SNES,1994,Action,2026-08-03
270,INAZUMA ELEVEN 2,DS,2009,Role-Playing,2026-08-03
271,METROID: OTHER M,Wii,2010,Action,2026-08-03
272,PAPER MARIO,N64,2000,Role-Playing,2026-08-03
273,BRAVELY DEFAULT: FLYING FAIRY,3DS,2012,Role-Playing,2026-08-03
274,POCKET MONSTERS STADIUM,N64,1998,Strategy,2026-08-03
275,YOSHI'S NEW ISLAND,3DS,2014,Platform,2026-08-03
276,MARIO & LUIGI: PARTNERS IN TIME,DS,2005,Role-Playing,2026-08-03
277,DONKEY KONG JUNGLE BEAT,GC,2004,Platform,2026-08-03
278,METROID PRIME 2: ECHOES,GC,2004,Shooter,2026-08-03
279,POKEMON RANGER: GUARDIAN SIGNS,DS,2010,Role-Playing,2026-08-03
280,GYROMITE,NES,1985,Puzzle,2026-08-03
281,YOSHI'S WOOLLY WORLD,WiiU,2015,Platform,2026-08-03
282,MYSTERY CASE FILES: MILLIONHEIR,DS,2008,Adventure,2026-08-03
283,YAKUMAN,GB,1989,Misc,2026-08-03
284,KID ICARUS: UPRISING,3DS,2012,Action,2026-08-03
285,POKEMON MYSTERY DUNGEON: GATES TO INFINITY,3DS,2012,Role-Playing,2026-08-03
286,HOGAN'S ALLEY,NES,1984,Shooter,2026-08-03
287,HYRULE WARRIORS,WiiU,2014,Action,2026-08-03
288,POKEMON XD: GALE OF DARKNESS,GC,2005,Role-Playing,2026-08-03
289,DIDDY KONG RACING DS,DS,2007,Racing,2026-08-03
290,TETRIS 2 (ALL REGION SALES),GB,1992,Puzzle,2026-08-03
291,KIRBY TILT 'N' TUMBLE,GB,2000,Puzzle,2026-08-03
292,DONKEY KONG COUNTRY 2,GBA,2004,Platform,2026-08-03
293,"WARIOWARE, INC.: MEGA MICROGAME$",GBA,2003,Puzzle,2026-08-03
294,MARIO POWER TENNIS,GC,2004,Sports,2026-08-03
295,GAME & WATCH GALLERY 2,GB,1997,Misc,2026-08-03
296,GAME & WATCH GALLERY 3,GB,1999,Misc,2026-08-03
297,GOLDEN SUN: THE LOST AGE,GBA,2002,Role-Playing,2026-08-03
298,PIKMIN 2,GC,2004,Strategy,2026-08-03
